391.5299 	EXP 	letter_reminder: autoDraw = False
391.5299 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
391.5299 	EXP 	NL_Pair: text = '5G'
391.5299 	EXP 	number_reminder: text = 'F = Odd        J = Even'
391.5299 	EXP 	letter_reminder: text = ' '
391.5299 	EXP 	NL_Pair: autoDraw = True
391.5299 	EXP 	number_reminder: autoDraw = True
391.5299 	EXP 	letter_reminder: autoDraw = True
392.5354 	EXP 	New trial (rep=0, index=15): OrderedDict([('pair', '9U'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
392.5599 	DATA 	Keypress: f
392.5799 	EXP 	NL_Pair: autoDraw = False
392.5799 	EXP 	number_reminder: autoDraw = False
392.5799 	EXP 	letter_reminder: autoDraw = False
392.5799 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
392.5799 	EXP 	NL_Pair: text = '9U'
392.5799 	EXP 	number_reminder: text = 'F = Odd        J = Even'
392.5799 	EXP 	letter_reminder: text = ' '
392.5799 	EXP 	NL_Pair: autoDraw = True
392.5799 	EXP 	number_reminder: autoDraw = True
392.5799 	EXP 	letter_reminder: autoDraw = True
393.4863 	DATA 	Keypress: f
393.5020 	EXP 	New trial (rep=0, index=16): OrderedDict([('pair', '1G'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
393.5298 	EXP 	NL_Pair: autoDraw = False
393.5298 	EXP 	number_reminder: autoDraw = False
393.5298 	EXP 	letter_reminder: autoDraw = False
393.5298 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
393.5298 	EXP 	NL_Pair: text = '1G'
393.5298 	EXP 	number_reminder: text = 'F = Odd        J = Even'
393.5298 	EXP 	letter_reminder: text = ' '
393.5298 	EXP 	NL_Pair: autoDraw = True
393.5298 	EXP 	number_reminder: autoDraw = True
393.5298 	EXP 	letter_reminder: autoDraw = True
394.2854 	EXP 	New trial (rep=0, index=17): OrderedDict([('pair', '6I'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
394.3010 	DATA 	Keypress: f
394.3131 	EXP 	NL_Pair: autoDraw = False
394.3131 	EXP 	number_reminder: autoDraw = False
394.3131 	EXP 	letter_reminder: autoDraw = False
394.3131 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
394.3131 	EXP 	NL_Pair: text = '6I'
394.3131 	EXP 	number_reminder: text = 'F = Odd        J = Even'
394.3131 	EXP 	letter_reminder: text = ' '
394.3131 	EXP 	NL_Pair: autoDraw = True
394.3131 	EXP 	number_reminder: autoDraw = True
394.3131 	EXP 	letter_reminder: autoDraw = True
395.3853 	EXP 	New trial (rep=0, index=18): OrderedDict([('pair', '5U'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
395.4001 	DATA 	Keypress: f
